date,metric,submetric,value,display
Oct 1 2023,Total deaths,Total,14776,Number
Jan 1 2024,Total deaths,Total,14990,Number
Apr 1 2024,Total deaths,Total,13070,Number
Jul 1 2024,Total deaths,Total,13034,Number
Oct 1 2024,Total deaths,Total,14168,Number
Jan 1 2025,Total deaths,Total,15210,Number
Apr 1 2025,Total deaths,Total,13141,Number
Jul 1 2025,Total deaths,Total,12859,Number
Oct 1 2025,Total deaths,Total,14150,Number
Jan 1 2026,Total deaths,Total,14776,Number
