date,Bronx,Brooklyn,Manhattan,Queens,Staten Island,Non-NYC Residents
Jan 1 2022,3733,7924,3156,4788,1154,2975
Apr 1 2022,3762,8002,3307,5064,1223,3099
Jul 1 2022,4042,8218,3338,5266,1249,3262
Oct 1 2022,4069,8660,3288,5245,1260,3372
Jan 1 2023,3620,7774,3033,4775,1162,2984
Apr 1 2023,3665,7809,3411,5121,1190,3067
Jul 1 2023,3826,8254,3345,5291,1225,3335
Oct 1 2023,3872,8433,3438,5232,1209,3315
Jan 1 2024,3639,8173,3384,5019,1168,3129
Apr 1 2024,3639,7837,3603,4922,1235,3317
