Date,Under 1,1 to 24,25 to 44,45 to 64,65 to 84,85+
Jan 1 2022,101,190,978,3357,7463,5564
Apr 1 2022,99,178,851,2718,5654,3752
Jul 1 2022,116,180,940,2895,5916,3954
Oct 1 2022,111,166,1004,3065,6627,4717
Jan 1 2023,101,185,892,2766,6197,4329
Apr 1 2023,93,208,841,2713,5538,3696
Jul 1 2023,105,182,885,2842,5534,3576
Oct 1 2023,115,169,871,2891,6317,4413
Jan 1 2024,107,198,842,2773,6487,4583
Apr 1 2024,92,159,783,2572,5634,3830
