date,Male,Female
Jan 1 2022,9204,8448
Apr 1 2022,6919,6333
Jul 1 2022,7352,6649
Oct 1 2022,8157,7532
Jan 1 2023,7410,7060
Apr 1 2023,6825,6264
Jul 1 2023,7039,6085
Oct 1 2023,7761,7015
Jan 1 2024,7668,7322
Apr 1 2024,6776,6294
