date,IMR
Jan 1 2022,3.99
Apr 1 2022,4.10
Jul 1 2022,4.24
Oct 1 2022,4.29
Jan 1 2023,4.31
Apr 1 2023,4.26
Jul 1 2023,4.15
Oct 1 2023,4.21
Jan 1 2024,4.22
Apr 1 2024,4.20
